sep=,
"Time","Activity tracey.tracey-0002cc010000052d","Activity tracey.tracey-0002cc010000052e","Activity tracey.tracey-0002cc010000052f","Activity tracey.tracey-0002cc0100000534","Activity tracey.tracey-0002cc0100000536","Activity tracey.tracey-0002cc0100000538","Activity tracey.tracey-0002cc0100000564","Activity tracey.tracey-0002cc0100000593","Activity tracey.tracey-0002cc010000059a","Activity tracey.tracey-0002cc01000005ac"
2021-04-16 18:00:00,,47.5,17.6,19.9,39.6,,29.9,24.9,37.0,28.7
2021-04-16 19:00:00,25.8,38.3,35.1,14.4,30.1,18.3,30.8,31.2,39.3,25.8
2021-04-16 20:00:00,30.1,27.2,33.7,21.3,33.2,21.1,32.7,30.9,34.7,28.9
2021-04-16 21:00:00,24.9,36.6,35.8,27.4,28.9,19.5,20.9,27.3,32.0,35.6
2021-04-16 22:00:00,25.7,41.8,35.3,35.2,22.1,22.8,31.3,34.6,31.0,36.5
2021-04-16 23:00:00,25.0,31.9,36.8,6.18,10.5,30.9,36.0,34.3,40.5,33.3
2021-04-17 00:00:00,4.89,36.6,6.79,19.8,17.5,34.1,43.7,8.87,43.4,19.3
2021-04-17 01:00:00,2.23,23.7,24.8,19.5,31.6,9.82,46.0,0.946,20.8,34.2
2021-04-17 02:00:00,28.2,40.5,1.14,42.9,30.7,21.7,4.15,24.5,36.2,19.4
2021-04-17 03:00:00,27.9,7.40,24.6,11.9,0.566,20.3,14.5,36.9,25.6,21.3
2021-04-17 04:00:00,5.53,21.4,15.6,22.3,22.8,27.3,38.1,40.2,32.7,34.1
2021-04-17 05:00:00,19.9,34.5,23.9,34.0,32.5,39.5,28.7,37.3,28.4,5.28
2021-04-17 06:00:00,11.8,23.0,1.57,39.7,8.35,31.3,10.0,2.16,20.8,26.8
2021-04-17 07:00:00,0.0244,6.46,21.3,7.12,3.19,3.67,21.3,29.9,14.9,13.9
2021-04-17 08:00:00,2.56,8.86,2.01,19.8,16.1,8.02,29.5,2.00,1.61,5.15
2021-04-17 09:00:00,1.79,36.4,2.71,3.95,0.781,11.4,2.03,1.47,21.5,13.8
2021-04-17 10:00:00,7.77,2.84,33.5,19.0,12.4,16.7,21.4,24.6,3.63,12.5
2021-04-17 11:00:00,0.0881,15.5,5.27,3.74,0.730,6.28,1.09,6.80,16.6,13.1
