Time Stamp,seizures/h,Spikes/h,"Temp (Mean, 3600s)","Activity (Mean, 3600s)",Markers (A)[Count],Markers (X)[Count],Markers (P)[Count],Markers (S)[Count],Markers (W)[Count]
7/8/20 14:00, -   ,241, 37.48 , 0.07 , 54.00 , 1.00 , -   , 298.00 , -   
7/8/20 15:00, -   ,213, 37.15 , 0.05 , 38.00 , -   , 2.00 , 320.00 , -   
7/8/20 16:00, -   ,381, 37.17 , 0.07 , 64.00 , -   , -   , 296.00 , -   
7/8/20 17:00, -   ,307, 37.14 , 0.04 , 42.00 , -   , 1.00 , 317.00 , -   
7/8/20 18:00, -   ,331, 37.15 , 0.07 , 59.00 , -   , 1.00 , 300.00 , -   
7/8/20 19:00, -   ,325, 37.55 , 0.10 , 106.00 , -   , -   , 254.00 , -   
7/8/20 20:00, -   ,269, 37.56 , 0.07 , 74.00 , -   , 1.00 , 285.00 , -   
7/8/20 21:00, -   ,84, 38.15 , 0.34 , 229.00 , -   , 2.00 , 129.00 , -   
7/8/20 22:00, -   ,84, 38.64 , 0.30 , 211.00 , 1.00 , -   , 148.00 , -   
7/8/20 23:00, -   ,359, 38.22 , 0.14 , 121.00 , 1.00 , -   , 238.00 , -   
7/9/20 0:00, -   ,97, 38.95 , 0.39 , 242.00 , -   , -   , 118.00 , -   
7/9/20 1:00, -   ,120, 38.20 , 0.24 , 193.00 , -   , -   , 166.00 , 1.00 
7/9/20 2:00, -   ,142, 38.41 , 0.25 , 199.00 , -   , -   , 161.00 , -   
7/9/20 3:00, -   ,30, 38.59 , 0.38 , 245.00 , 1.00 , -   , 113.00 , 1.00 
7/9/20 4:00, -   ,34, 38.28 , 0.35 , 274.00 , -   , -   , 86.00 , -   
7/9/20 5:00, -   ,121, 38.87 , 0.42 , 253.00 , -   , -   , 107.00 , -   
7/9/20 6:00, -   ,390, 38.34 , 0.21 , 157.00 , -   , -   , 203.00 , -   
7/9/20 7:00, -   ,497, 37.19 , 0.16 , 114.00 , -   , -   , 246.00 , -   
7/9/20 8:00, -   ,551, 37.16 , 0.07 , 61.00 , -   , -   , 299.00 , -   
7/9/20 9:00, -   ,295, 37.54 , 0.21 , 155.00 , -   , -   , 205.00 , -   
7/9/20 10:00, -   ,470, 37.37 , 0.10 , 74.00 , -   , 1.00 , 285.00 , -   
7/9/20 11:00, -   ,391, 37.71 , 0.13 , 101.00 , -   , -   , 259.00 , -   
7/9/20 12:00, -   ,581, 37.54 , 0.03 , 36.00 , -   , 2.00 , 322.00 , -   
7/9/20 13:00, -   ,393, 37.38 , 0.06 , 63.00 , -   , 2.00 , 295.00 , -   
7/9/20 14:00, -   ,257, 37.72 , 0.17 , 121.00 , 1.00 , 1.00 , 237.00 , -   
7/9/20 15:00, -   ,400, 37.66 , 0.06 , 55.00 , -   , 1.00 , 304.00 , -   
7/9/20 16:00, -   ,527, 37.58 , 0.02 , 11.00 , 4.00 , -   , 345.00 , -   
7/9/20 17:00, -   ,276, 37.51 , 0.06 , 75.00 , -   , 3.00 , 282.00 , -   
7/9/20 18:00, -   ,347, 37.41 , 0.08 , 82.00 , 3.00 , -   , 275.00 , -   
7/9/20 19:00, -   ,213, 37.60 , 0.08 , 86.00 , -   , -   , 274.00 , -   
7/9/20 20:00, -   ,316, 37.49 , 0.12 , 108.00 , 1.00 , -   , 251.00 , -   
7/9/20 21:00, -   ,15, 38.58 , 0.37 , 268.00 , 1.00 , -   , 91.00 , -   
7/9/20 22:00, -   ,42, 38.44 , 0.31 , 237.00 , 1.00 , -   , 122.00 , -   
7/9/20 23:00, -   ,76, 38.78 , 0.19 , 184.00 , -   , -   , 176.00 , -   
7/10/20 0:00, -   ,149, 38.68 , 0.24 , 205.00 , -   , -   , 155.00 , -   
7/10/20 1:00, -   ,133, 38.29 , 0.21 , 184.00 , -   , -   , 176.00 , -   
7/10/20 2:00, -   ,58, 38.33 , 0.27 , 214.00 , -   , -   , 146.00 , -   
7/10/20 3:00, -   ,32, 38.27 , 0.27 , 253.00 , -   , -   , 106.00 , 1.00 
7/10/20 4:00, -   ,25, 38.40 , 0.37 , 258.00 , -   , -   , 102.00 , -   
7/10/20 5:00, -   ,125, 38.24 , 0.22 , 195.00 , 1.00 , -   , 163.00 , 1.00 
7/10/20 6:00, -   ,299, 38.12 , 0.24 , 170.00 , -   , 1.00 , 189.00 , -   
7/10/20 7:00, -   ,396, 37.28 , 0.12 , 97.00 , -   , 1.00 , 262.00 , -   
7/10/20 8:00, -   ,575, 36.95 , 0.02 , 29.00 , 2.00 , 3.00 , 326.00 , -   
7/10/20 9:00, -   ,425, 37.27 , 0.17 , 122.00 , -   , 2.00 , 236.00 , -   
7/10/20 10:00, -   ,250, 37.62 , 0.08 , 102.00 , -   , 1.00 , 257.00 , -   
7/10/20 11:00, -   ,180, 37.42 , 0.08 , 84.00 , -   , 1.00 , 274.00 , 1.00 
7/10/20 12:00, -   ,303, 37.46 , 0.03 , 50.00 , 4.00 , 1.00 , 305.00 , -   
7/10/20 13:00, -   ,253, 37.46 , 0.09 , 85.00 , -   , 1.00 , 274.00 , -   
7/10/20 14:00, -   ,221, 37.29 , 0.05 , 57.00 , 2.00 , 1.00 , 300.00 , -   
7/10/20 15:00, -   ,114, 37.58 , 0.08 , 85.00 , 2.00 , 2.00 , 271.00 , -   
7/10/20 16:00, -   ,303, 37.37 , 0.01 , 27.00 , -   , 4.00 , 329.00 , -   
7/10/20 17:00, -   ,356, 37.14 , 0.03 , 36.00 , -   , 1.00 , 323.00 , -   
7/10/20 18:00, -   ,294, 37.15 , 0.04 , 46.00 , 2.00 , 2.00 , 310.00 , -   
7/10/20 19:00, -   ,128, 37.38 , 0.05 , 63.00 , -   , -   , 297.00 , -   
7/10/20 20:00, -   ,55, 37.67 , 0.16 , 152.00 , -   , 2.00 , 206.00 , -   
7/10/20 21:00, -   ,43, 38.45 , 0.29 , 242.00 , 5.00 , -   , 113.00 , -   
7/10/20 22:00, -   ,91, 38.61 , 0.29 , 214.00 , -   , -   , 145.00 , 1.00 
7/10/20 23:00, -   ,228, 38.62 , 0.23 , 187.00 , 1.00 , -   , 172.00 , -   
7/11/20 0:00, -   ,264, 38.55 , 0.17 , 151.00 , 2.00 , -   , 207.00 , -   
7/11/20 1:00, -   ,213, 38.31 , 0.20 , 172.00 , 3.00 , -   , 185.00 , -   
7/11/20 2:00, -   ,116, 38.32 , 0.16 , 168.00 , 1.00 , -   , 191.00 , -   
7/11/20 3:00, -   ,220, 38.14 , 0.11 , 119.00 , 3.00 , -   , 237.00 , 1.00 
7/11/20 4:00, -   ,120, 38.53 , 0.25 , 220.00 , 5.00 , -   , 135.00 , -   
7/11/20 5:00, -   ,138, 38.68 , 0.19 , 188.00 , -   , -   , 172.00 , -   
7/11/20 6:00, -   ,325, 37.89 , 0.05 , 55.00 , -   , 2.00 , 303.00 , -   
7/11/20 7:00, -   ,338, 37.98 , 0.03 , 34.00 , 5.00 , 1.00 , 320.00 , -   
7/11/20 8:00, -   ,224, 37.60 , 0.03 , 39.00 , -   , 3.00 , 318.00 , -   
7/11/20 9:00, -   ,158, 37.28 , 0.02 , 26.00 , 1.00 , 5.00 , 328.00 , -   
7/11/20 10:00, -   ,139, 37.65 , 0.10 , 101.00 , 3.00 , 2.00 , 254.00 , -   
7/11/20 11:00, -   ,206, 37.36 , 0.03 , 21.00 , 5.00 , 7.00 , 327.00 , -   
7/11/20 12:00, -   ,194, 37.16 , 0.03 , 35.00 , 7.00 , 6.00 , 312.00 , -   
7/11/20 13:00, -   ,254, 37.29 , 0.04 , 59.00 , 5.00 , -   , 296.00 , -   
7/11/20 14:00, -   ,374, 37.15 , 0.02 , 28.00 , 1.00 , 1.00 , 330.00 , -   
7/11/20 15:00, -   ,274, 37.25 , 0.04 , 48.00 , 5.00 , 5.00 , 301.00 , 1.00 
7/11/20 16:00, -   ,229, 37.26 , 0.02 , 31.00 , -   , 3.00 , 326.00 , -   
7/11/20 17:00, -   ,237, 37.22 , 0.03 , 32.00 , 3.00 , 1.00 , 324.00 , -   
7/11/20 18:00, -   ,242, 37.12 , 0.04 , 38.00 , 5.00 , 4.00 , 313.00 , -   
7/11/20 19:00, -   ,246, 37.43 , 0.06 , 88.00 , -   , 4.00 , 268.00 , -   
7/11/20 20:00, -   ,147, 37.80 , 0.18 , 180.00 , 2.00 , -   , 178.00 , -   
7/11/20 21:00, -   ,103, 38.55 , 0.27 , 191.00 , 2.00 , -   , 167.00 , -   
7/11/20 22:00, -   ,82, 38.79 , 0.35 , 239.00 , 3.00 , -   , 118.00 , -   
7/11/20 23:00, -   ,110, 38.55 , 0.19 , 190.00 , -   , -   , 170.00 , -   
7/12/20 0:00, -   ,76, 38.57 , 0.17 , 197.00 , -   , -   , 162.00 , 1.00 
7/12/20 1:00, -   ,227, 38.02 , 0.15 , 105.00 , 3.00 , 1.00 , 251.00 , -   
