Time Stamp,"Temp (Mean, 3600s)","Activity (Mean, 3600s)",Markers (A)[Count],Markers (X)[Count],Markers (P)[Count],Markers (S)[Count],Markers (Wake)[Count]
7/30/20 17:00, 37.07 , 0.01 , 23.00 , 8.00 , 83.00 , 243.00 , 3.00 
7/30/20 18:00, 37.50 , 0.03 , 35.00 , -   , 109.00 , 208.00 , 8.00 
7/30/20 19:00, 37.56 , 0.04 , 42.00 , -   , 85.00 , 220.00 , 13.00 
7/30/20 20:00, 37.47 , 0.08 , 112.00 , -   , 92.00 , 118.00 , 38.00 
7/30/20 21:00, 37.57 , 0.08 , 86.00 , -   , 111.00 , 138.00 , 25.00 
7/30/20 22:00, 38.17 , 0.20 , 172.00 , -   , 61.00 , 86.00 , 41.00 
7/30/20 23:00, 37.89 , 0.10 , 86.00 , -   , 69.00 , 180.00 , 25.00 
7/31/20 0:00, 37.47 , 0.02 , 21.00 , -   , 91.00 , 242.00 , 6.00 
7/31/20 1:00, 37.44 , 0.03 , 46.00 , -   , 82.00 , 217.00 , 15.00 
7/31/20 2:00, 37.71 , 0.14 , 126.00 , -   , 82.00 , 123.00 , 29.00 
7/31/20 3:00, 38.14 , 0.12 , 117.00 , -   , 68.00 , 157.00 , 18.00 
7/31/20 4:00, 38.05 , 0.13 , 128.00 , -   , 86.00 , 122.00 , 24.00 
7/31/20 5:00, 37.20 , 0.01 , 11.00 , -   , 83.00 , 266.00 , -   
7/31/20 6:00, 37.03 , 0.01 , 8.00 , -   , 80.00 , 270.00 , 2.00 
7/31/20 7:00, 36.86 , 0.03 , 44.00 , -   , 86.00 , 218.00 , 12.00 
7/31/20 8:00, 36.65 , 0.01 , 14.00 , 5.00 , 87.00 , 252.00 , 2.00 
7/31/20 9:00, 36.96 , 0.08 , 99.00 , 3.00 , 90.00 , 156.00 , 12.00 
7/31/20 10:00, 37.01 , 0.04 , 56.00 , -   , 81.00 , 208.00 , 15.00 
7/31/20 11:00, 37.56 , 0.38 , 184.00 , 21.00 , 40.00 , 95.00 , 20.00 
7/31/20 12:00, 37.46 , 0.08 , 93.00 , -   , 46.00 , 207.00 , 14.00 
7/31/20 13:00, 37.10 , 0.01 , 21.00 , 1.00 , 85.00 , 249.00 , 4.00 
7/31/20 14:00, 37.28 , 0.01 , 22.00 , 6.00 , 81.00 , 245.00 , 6.00 
